Dimension.ORDER_ID,Dimension.ORDER_NAME,Dimension.PLACEMENT_ID,Dimension.PLACEMENT_NAME,Dimension.CREATIVE_ID,Dimension.CREATIVE_NAME,Dimension.CREATIVE_SIZE,DimensionAttribute.ORDER_START_DATE_TIME,DimensionAttribute.ORDER_END_DATE_TIME,Column.AD_SERVER_IMPRESSIONS,Column.AD_SERVER_CLICKS,Column.AD_SERVER_CTR
2877877606,CANAL CBOX - 70063,0,-,138355024535,e4,480 x 320,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,22,0,0.0000
2877877606,CANAL CBOX - 70063,0,-,138355024817,s2,1024 x 768,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,8,2,0.2500
2877877606,CANAL CBOX - 70063,0,-,138355024889,s3,480 x 320,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,23,2,0.0870
2877877606,CANAL CBOX - 70063,0,-,138355024913,s4,768 x 1024,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,63,7,0.1111
2877877606,CANAL CBOX - 70063,0,-,138355052037,s1,320 x 480,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,2543,89,0.0350
2877877606,CANAL CBOX - 70063,0,-,138355062426,c2,480 x 320,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,22,1,0.0455
2877877606,CANAL CBOX - 70063,0,-,138355405294,c1,320 x 480,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,2522,95,0.0377
2877877606,CANAL CBOX - 70063,0,-,138355405585,c3,1024 x 768,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,8,0,0.0000
2877877606,CANAL CBOX - 70063,0,-,138355405666,c4,768 x 1024,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,71,4,0.0563
2877877606,CANAL CBOX - 70063,0,-,138355405801,e1,768 x 1024,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,68,1,0.0147
2877877606,CANAL CBOX - 70063,0,-,138355405900,e2,320 x 480,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,2521,76,0.0301
2877877606,CANAL CBOX - 70063,0,-,138355405945,e3,1024 x 768,2021-07-02T11:07:00+04:00,2021-09-30T23:59:00+04:00,13,0,0.0000
